event_id,timestamp,user_id,event_type,ip_address,location,failed_attempts,resource,request_frequency,label
EVT00000,2026-08-27T21:48:01.426382,user_048,resource_access,36.52.44.152,DE,0,ec2_dashboard,1,normal
EVT00001,2026-08-27T06:28:48.426382,user_039,login,192.168.92.167,FR,0,cloud_console,2,normal
EVT00002,2026-08-27T14:52:29.426382,user_001,login,192.168.44.72,UK,0,cloud_console,3,normal
EVT00003,2026-08-27T02:14:27.426382,user_007,resource_access,192.168.78.68,US,0,ec2_dashboard,4,normal
EVT00004,2026-08-27T01:23:19.426382,user_041,api_call,192.168.47.148,UK,0,ec2_dashboard,2,normal
EVT00005,2026-08-27T09:03:21.426382,attacker_004,resource_access,98.142.232.163,KP,0,ec2_admin_portal,26,unauthorized_access
EVT00006,2026-08-27T11:27:17.426382,user_018,api_call,192.168.83.19,FR,0,s3_public_assets,2,normal
EVT00007,2026-08-27T15:21:00.426382,user_041,api_call,192.168.88.84,US,0,ec2_dashboard,3,normal
EVT00008,2026-08-27T13:07:32.426382,user_014,api_call,192.168.41.55,DE,0,dynamodb_cache,2,normal
EVT00009,2026-08-27T08:09:49.426382,user_048,api_call,192.168.96.150,DE,1,dynamodb_cache,3,normal
EVT00010,2026-08-27T06:30:17.426382,attacker_003,api_call,24.24.56.40,RU,0,kms_keys,34,unauthorized_access
EVT00011,2026-08-27T00:49:57.426382,user_039,resource_access,192.168.71.221,US,0,lambda_logging,3,normal
EVT00012,2026-08-27T02:34:52.426382,user_011,resource_access,185.134.91.130,US,0,s3_public_assets,2,normal
EVT00013,2026-08-27T12:08:00.426382,user_026,login,200.0.165.126,US,6,cloud_console,10,brute_force
EVT00014,2026-08-27T09:42:57.426382,user_016,api_call,192.168.11.188,DE,0,s3_public_assets,2,normal
EVT00015,2026-08-27T15:49:27.426382,attacker_003,api_call,136.216.108.238,RU,0,iam_policy_manager,27,unauthorized_access
EVT00016,2026-08-27T22:10:51.426382,user_034,resource_access,58.32.173.6,FR,1,s3_public_assets,2,normal
EVT00017,2026-08-26T22:46:53.426382,user_041,login,9.169.36.132,UK,0,cloud_console,4,normal
EVT00018,2026-08-27T06:19:11.426382,user_047,api_call,192.168.32.201,DE,0,s3_public_assets,1,normal
EVT00019,2026-08-27T02:02:55.426382,user_023,resource_access,192.168.94.14,US,0,dynamodb_cache,3,normal
EVT00020,2026-08-27T02:29:53.426382,user_013,api_call,192.168.55.47,IN,0,s3_public_assets,1,normal
EVT00021,2026-08-27T14:39:13.426382,user_046,login,141.50.25.167,Unknown,5,cloud_console,6,brute_force
EVT00022,2026-08-27T07:07:33.426382,user_032,resource_access,103.30.84.98,US,0,lambda_logging,4,normal
EVT00023,2026-08-27T08:54:19.426382,user_047,api_call,192.168.63.40,UK,0,s3_public_assets,1,normal
EVT00024,2026-08-27T19:36:25.426382,user_004,api_call,192.168.7.150,DE,1,s3_public_assets,1,normal
EVT00025,2026-08-27T17:00:33.426382,user_012,login,192.168.87.221,UK,0,cloud_console,1,normal
EVT00026,2026-08-27T19:15:39.426382,user_039,login,192.168.54.169,FR,1,cloud_console,3,normal
EVT00027,2026-08-27T08:00:50.426382,user_046,resource_access,102.67.153.118,IN,0,ec2_dashboard,4,normal
